Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
LA CANTINE DU 7;Restaurant;Cuisine traditionnelle;;10 Allée des Embruns;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.2287;-2.17408;;;02 40 27 03 03;;7beaufort@wanadoo.fr;https://www.facebook.com/pages/La-Cantine-Du-7/467521496639322;;;;;Guide du Routard Pays de la Loire,Le petit futé;;;;;;WiFi;50;;60;;;;;;;;;;;;;;Cartes bancaires,Tickets Restaurant;47.2287, -2.17408;Loire-Atlantique
LA CANTINE DU LUTIN;Restaurant;Cuisine traditionnelle;;1 Grande Rue;;72370;;;SOULITRE;72341;48.011479;0.45609519;"Autoroute||A28, sortie Le Mans sud||5 ; Route (nationale/départ.)||D357||2,5";;02 53 76 16 84;;;;;;;;;;;oui;;;Banquet,Plats à emporter,Séminaire,Service en terrasse;55;1;20;1;;;oui;oui;4;55;oui;||||||||07:30||||||15:00||07:30||||||15:00||07:30||||||20:00||07:30||||||20:00||07:30||||||00:00||07:30||||||00:00||07:00||||||15:00;||02 43 89 81 11||;;;;;48.011479, 0.45609519;Sarthe
LA CASA DEL SOLE;Restaurant;Pizzeria;44 rue du val de mayenne;;;53000;;;LAVAL;53130;48.069446;-0.7716333;;;02.43.49.04.87;;tizo53@hotmail.fr;http://casadelsole.fr/;;Facebook||https://fr-fr.facebook.com/LaCasaDelSoleLaval/;;;;;;;;;;40;2;40;;;;;;;;oui;;;;;;;48.069446, -0.7716333;Mayenne
LA CHARBO;Restaurant;;;;La Charbonnière;44150;;;ANCENIS-SAINT-GEREON;44003;47.362018;-1.183904;"Gare SNCF||Gare d'Ancenis||1 ; Route (nationale/départ.)||RD723||2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.362018, -1.183904;Loire-Atlantique
LA CHAUMIERE;Restaurant;Cuisine traditionnelle;;1 place du Relais;Arthon-en-Retz;44320;;;CHAUMES-EN-RETZ;44005;47.1145;-1.93917;;;02 40 64 65 29;;la-chaumiere@outlook.fr;;;;;;;;;;;;;60;2;30;;;;oui;oui;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.1145, -1.93917;Loire-Atlantique
LA COMPAGNIE FRANCO-THAIE;Restaurant;Cuisine du Monde;;7 rue du 28 Février 1943;;44600;;;SAINT-NAZAIRE;44184;47.2738528;-2.2078997;"Gare SNCF||||1,5 ; Transport en commun||Ligne U2. Arrêt: Quatzhorloges||0,055";;02 40 22 53 12;;;http://lacompagniefrancothaie.fr/;;Facebook||https://fr-fr.facebook.com/La-Compagnie-Franco-Tha%C3%AFe-495983060516841/;;;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,Traiteur;38;;;;;;oui;oui;10;38;non;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||22:00||||||19:00||21:30||||||||;||02 40 22 53 12||;;;"Menu adulte du jour (midi en semaine)||14,00||17,00|| ; Menu adulte soir et week-end||28,00|||| ; Menu enfant||11,50||||";Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.2738528, -2.2078997;Loire-Atlantique
LA COUR;Restaurant;;;23 rue de la Roë;;49100;;;ANGERS;49007;47.47286;-0.55313;;;02 41 96 05 88;;contact@lacour-angers.com;https://www.lacour-angers.com/;;Facebook||https://www.facebook.com/LaCourAngers;;;;;;oui;;;Climatisation,Service en terrasse,WiFi;100;3;40;;;;oui;oui;;20;;"19/05/2021||31/12/2021||||||12:00||14:00||18:30||20:30||12:00||14:00||18:30||20:30||12:00||14:00||18:30||20:30||12:00||14:00||18:30||20:30||12:00||14:00||18:30||20:30||10:30||14:30||18:30||20:30||10:30||14:30||18:30||20:30 ; 01/01/2022||31/12/2022||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||02:00||||||12:00||02:00||||||11:00||02:00||||||11:00||23:00|||| ; 01/01/2023||31/12/2023||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||02:00||||||12:00||02:00||||||11:00||02:00||||||11:00||23:00||||";;;;;Cartes bancaires,Espèces,Tickets Restaurant,Virement;47.47286, -0.55313;Maine-et-Loire
LA DÉRIVE;Restaurant;Crêperie;;7 quai de la Petite Chambre;;44490;;;LE CROISIC;44049;47.29439;-2.51098;;;02 40 23 17 13;;laderivesurlequai@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.29439, -2.51098;Loire-Atlantique
LA GALERNE;Restaurant;Brasserie;;Port de Plaisance;;44380;;;PORNICHET;44132;47.25858;-2.34598;;;02 40 61 25 69;;barlagalerne@orange.fr;;;;;;;;;oui;;;WiFi;38;;160;;;;;;;;;"01/01/2022||31/12/2022|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2023||31/12/2023||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.25858, -2.34598;Loire-Atlantique
LA GARE;Restaurant;Cuisine traditionnelle;;19 avenue de la Gare;;72310;;;BESSE-SUR-BRAYE;72035;47.830575;0.74725069;;;02 43 63 09 61;;;;;;;;;;;;;;;60;;;;;;;;;;;||||||||09:00||15:00||||||09:00||15:00||||||09:00||15:00||||||09:00||15:00||||||09:00||17:00||18:30||23:00||10:00||15:00||18:30||23:00||||||||;Restaurant La Gare||02 43 63 09 61||;;;;;47.830575, 0.74725069;Sarthe
LA GOGANE;;;;11 place Molière;;49100;;;ANGERS;49007;47.47389;-0.55454;;;02 41 88 24 08;;lagogane@hotmail.com;https://la-gogane.metro.rest/?lang=fr;;;;;;;;;;;Service en terrasse,WiFi;36;;16;;;;oui;oui;;;;"01/01/2021||31/12/2021||||||||||||||12:00||14:30||19:00||21:00||12:00||14:30||19:00||21:00||12:00||14:30||19:00||21:00||12:00||14:30||19:00||21:00||12:00||14:30||19:00||21:00|||||||| ; 01/01/2022||31/12/2022||||||||||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00|||||||| ; 01/01/2023||31/12/2023||||||||||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||||||||";;;;"Menu enfant||14,00|||| ; Menu adulte du jour (midi en semaine)||18,50||21,50|| ; Menu adulte soir et week-end||31,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.47389, -0.55454;Maine-et-Loire
LA GRANDE BARGE;Restaurant;Cuisine traditionnelle;8 rue Grande Biesse;;;44200;;;NANTES;44109;47.20666;-1.54914;;;02 53 97 65 40;;contact@ledebutdesharicots.fr;www.ledebutdesharicots.fr;;;;;Les Tables de Nantes;;;oui;Animaux sages et pas trop gros acceptés à l'intérieur;;Plats à emporter,Service en terrasse,Traiteur,WiFi;40;1;25;0;0;;oui;oui;;10;oui;;La Grande Barge||02 53 97 65 40||;;;Plats à la carte||||||Formule de 12.5 le plat seul à 20 euros entrée plat dessert;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.20666, -1.54914;Loire-Atlantique
LA LICORNE;Restaurant;Cuisine traditionnelle;;17 Rue de Kéroman;;44420;;;PIRIAC-SUR-MER;44125;47.3801;-2.54637;;;02 40 19 07 95;;lalicorne28@orange.fr;;;;;;;;;oui;;;Service en terrasse;60;;36;;;;;;;;;02/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.3801, -2.54637;Loire-Atlantique
LA MAISON PORTUGAISE;Restaurant;Cuisine du Monde;;36 Avenue de la Paix;;44480;;;DONGES;44052;47.3182041;-2.074843;Transport en commun||Ligne T4 - Arrêt Mairie de Donges||0,03;07 77 80 03 86;;;la.maison.portugaise@gmail.com;https://www.lamaisonportugaise.com/;;Facebook||https://www.facebook.com/pg/La-maison-portugaise-103430477723012/about/?ref=page_internal;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert du lundi au dimanche||Fermé le dimanche soir et lundi soir||10:00||15:00||||||10:00||||||18:00||10:00||15:00||||||10:00||||||18:00||10:00||||||23:00||10:00||||||23:00||10:00||15:00||||;;non;||||||07 77 80 03 86||;;;47.3182041, -2.074843;Loire-Atlantique
LA MIE CALINE;Restaurant;Restauration rapide;;La Séguinière Outlet;ZI La Ménardière;49280;;;LA SEGUINIERE;49332;47.0552;-0.9420345;;;02 41 58 72 85;;;http://www.laseguiniereoutlet.com;;;;;;;;;;;;;;;;;;;;;;;01/01/2023||31/12/2023||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||||||||;;;;;;47.0552, -0.9420345;Maine-et-Loire
LA P'TITE THAILANDE - FOOD TRUCK;Restaurant;Restaurant gastronomique - cuisine raffinée;;Place du champ de foire;;44710;;;PORT-SAINT-PERE;44133;47.13325;-1.75005;;;;;;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.13325, -1.75005;Loire-Atlantique
LA PANETIERE;Restaurant;Salon de thé;;32 avenue François Mitterrand;;72000;;;LE MANS;72181;48.0046615;0.19958619;;02 43 24 93 90;;;;;;Facebook||https://www.facebook.com/lapanetiere.72/;;;;;;;;;Plats à emporter,Service en terrasse;;;;;;;;;;;oui;;;;;;;48.0046615, 0.19958619;Sarthe
LA PETITE BRASSERIE;Restaurant;Brasserie;;13 Place du Marché;;53230;;;COSSE-LE-VIVIEN;53077;47.946619;-0.911679;;06 43 88 24 65;02 43 98 14 86;;julienland@outlook.fr;;;Facebook||https://www.facebook.com/La-Petite-Brasserie-1549752722012900;;;;;;;;;Plats à emporter,Service en terrasse;;;;;;;;;;;oui;;La Petite Brasserie||02 43 98 14 86||julienland@outlook.fr;;;;;47.946619, -0.911679;Mayenne
LA PETITE CASAMANCE;;Restauration rapide;;61 Avenue du Général de Gaule;;44310;;;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.01165;-1.58002;;;02 40 58 97 60;;;;;;;;;;;;;;;;;;;;;;;;;;||||Ouvert du mercredi au dimanche soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.01165, -1.58002;Loire-Atlantique
LA PETITE MONASTERIENNE;Restaurant;Pizzeria;;5 bis place de l'Eglise Madame;;44760;;;LES MOUTIERS-EN-RETZ;44106;47.06287;-2.00124;;;09 73 68 38 87;;jeanclement-bailly@gmx.fr;;;;;;;;;oui;;;Plats à emporter;40;1;20;;;;oui;oui;;20;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.06287, -2.00124;Loire-Atlantique
LA SOURDERIE;Restaurant;Cuisine traditionnelle;;la Grande Sourderie;;53700;;;VILLAINES-LA-JUHEL;53271;48.3533357;-0.2858247;;;02 43 00 03 67;;restaurant.lasourderie@orange.fr;;;;;;;;;;;;Plats à emporter,Service en terrasse;;;;;;;oui;oui;;;oui;;;;;;;48.3533357, -0.2858247;Mayenne
LA TABLE DU CHÂTEAU DE NOIRIEUX;Restaurant;Restaurant gastronomique - cuisine raffinée;;26 route du Moulin;;49125;;;BRIOLLAY;49048;47.5756;-0.46911;;;02 41 42 50 05;02 41 37 91 00;noirieux@relaischateaux.com;http://www.chateaudenoirieux.com;;"Twitter||http://twitter.com/ChateauNoirieux ; Facebook||http://www.facebook.com/noirieux";;;Bottin Gourmand,Champerard,Gault Millau,Michelin,Pudlowski;;;oui;avec supplément de 20€ par nuit en chambre.;Relais et Châteaux,Vignobles et découvertes;Service en terrasse,WiFi;60;;30;;;;oui;oui;;;;"05/03/2021||07/12/2021||||||||||||||||||||||12:15||13:30||19:30||21:00||12:15||13:30||19:30||21:00||12:15||13:30||19:30||21:00||12:15||13:30||19:30||21:00||12:15||13:30||19:30||21:00 ; 16/03/2022||31/12/2022||||||||||||||||||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30|||| ; 18/01/2023||31/12/2023||||||||||||||||||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.5756, -0.46911;Maine-et-Loire
LA VACHE À BIÈRES;;;;2 boulevard Jean Rouyer;;49300;;;CHOLET;49099;47.0321;-0.91314;;;02 41 16 21 95;;lavacheabieres49@orange.fr;;;;;;;;;;;;Service en terrasse,WiFi;;;;;;;;;;;;01/01/2023||31/12/2023||||||11:00||22:00||12:00||14:00||11:00||22:00||12:00||14:00||11:00||22:00||12:00||14:00||11:00||22:00||12:00||14:00||11:00||22:00||12:00||14:00||11:00||22:00||12:00||14:00||||||||;;;;;;47.0321, -0.91314;Maine-et-Loire
LA VAGUE;Restaurant;Brasserie;;3 Place de la Victoire;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.24689;-2.16688;;;02 53 79 91 41;;lavague-stbrevin@sfr.fr;https://www.facebook.com/pg/La-Vague-2093494194212773/photos/?ref=page_internal;;;;;;;;oui;;;WiFi;30;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||;;;;;Cartes bancaires,Tickets Restaurant;47.24689, -2.16688;Loire-Atlantique
LA VERRIÈRE;Restaurant;Cuisine traditionnelle;;13 place de la Bilange;;49400;;;SAUMUR;49328;47.260308;-0.077694;;;02 41 67 57 41;;;;;Facebook||https://www.facebook.com/laverriere49400/?ref=pages_you_manage;;;;;;;;;Service en terrasse;;;;;;;;;;;;;;;;;;47.260308, -0.077694;Maine-et-Loire
LA VIEILLE FORGE;Restaurant;Restaurant gastronomique - cuisine raffinée;;32 rue d'Aha;;44420;;;MESQUER;44097;47.39895;-2.46006;;;02 40 42 62 68;;lavieilleforge44420@gmail.com;http://www.vieilleforge.fr;;;;;Gault Millau,Guide du Routard Pays de la Loire,Le petit futé;;;non;Petits animaux;Maitres Restaurateurs;WiFi;60;;;;;;oui;oui;;40;;01/01/2022||31/12/2022||fermé le samedi midi dimanche soir et lundi entier||||||||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30;;;;Menu adulte du jour (midi en semaine)||29,00||||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.39895, -2.46006;Loire-Atlantique
LA VILLE EN BOIS;Restaurant;Cuisine traditionnelle;;La Ville en Bois;;44320;;;SAINT-VIAUD;44192;47.27791;-2.0133;;;02 40 27 53 15;;restolavilleenbois@orange.fr;;;;;;;;;;;;;;;;;;;oui;oui;;;;;;;;;;47.27791, -2.0133;Loire-Atlantique
LAETIZIA PIZZA LE LION D'ANGERS;Restaurant;Pizzeria;;6 route de Château-Gontier;;49220;;;LE LION-D'ANGERS;49176;47.63137;-0.71097;;;02 72 47 11 18;;laetiziapizza@orange.fr;;;Facebook||https://www.facebook.com/laetiziapizza/?ref=page_internal;;;;;;non;;;Plats à emporter;20;1;0;0;0;;non;non;;;oui;01/01/2023||31/12/2023||Ouvert tous les midis et soirs du mardi au dimanche (sauf samedi et dimanche midi).||Fermé le lundi et samedi et dimanche midi.||||||||||11:30||13:30||18:00||21:00||11:30||13:30||18:00||21:00||11:30||13:30||18:00||21:00||11:30||13:30||18:00||21:30||||||18:00||21:30||||||18:00||21:00;Laetizia Pizza||02 72 47 11 18||laetiziapizza@orange.fr;;;Plats à la carte||8,00||20,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.63137, -0.71097;Maine-et-Loire
LAZZARO PIZZA;Restaurant;Pizzeria;;1 Impasse Aristide Briand;;44650;;;LEGE;44081;46.888642;-1.590748;;;02 28 43 73 32;;;https://www.lazzaro-pizza.fr/;;Facebook||https://www.facebook.com/lazzaro.lege.1;;;;;;;;;Livraison à domicile / Covid-19,Plats à emporter;;;;;;;;;;;;01/01/2023||31/12/2023||||||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||23:00||11:00||14:00||18:00||23:00||11:00||14:00||18:00||23:00;;oui;||https://www.lazzaro-pizza.fr||||02 28 43 73 32||;;Cartes bancaires,Espèces;46.888642, -1.590748;Loire-Atlantique
LE 345 - RESTAURANT • APÉROOM;Restaurant;Cuisine traditionnelle;353, rue de Bretagne;;;53000;;;LAVAL;53130;48.0682594;-0.8013892;;;02 43 64 03 41;;contact@345.fr;;;Facebook||https://www.facebook.com/le345.laval/;;;;;;;;;Traiteur;55;2;24;;;;;;;;oui;;;;;;;48.0682594, -0.8013892;Mayenne
LE BAR À HUÎTRES;Restaurant;;;Place de Kercabellec;rue du port;44420;;;MESQUER;44097;47.41021;-2.46469;;;06 63 29 69 01;;f.durand1969@gmail.com;http://www.barahuitres@wordpress.com;;;;;;;;;;;;;;;;;;;;;;;"22/05/2021||30/06/2021||11h-13h / 18h-20h|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2021||31/08/2021||11h-13h du mecredi au dimanche / 18h-21h du jeudi au dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;;47.41021, -2.46469;Loire-Atlantique
LE BELEM;Restaurant;Pizzeria;;587 avenue de Beaulieu;Quimiac;44420;;;MESQUER;44097;47.40754;-2.4812;;;02 40 15 24 56;;lebelemrestaurantpizzeria@orange.fr;https://www.lebelemquimiac.fr/;;;;;Le petit futé;;;;;;;50;;40;;;;;;;;;"01/01/2022||31/12/2022||en semaine : uniquement le formule à 13,20€ le midi. Le week-end et le soir menu à 25€ et 35€ uniquement. Fermé en saison le lundi soir, mardi soir et mercredi toute la journée||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00|||| ; 01/01/2022||31/12/2022||Le week-end et le soir menu à 25€ et 35€ uniquement. Fermé en saison le lundi soir, mardi soir et mercredi toute la journée||||||||||||||||||||||||||||19:15||21:30||||||19:15||21:30||||||19:15||21:30|||||||||||| ; 01/01/2023||31/12/2023||en semaine : uniquement le formule à 13,20€ le midi. Le week-end et le soir menu à 25€ et 35€ uniquement. Fermé en saison le lundi soir, mardi soir et mercredi toute la journée||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00|||| ; 01/01/2023||31/12/2023||Le week-end et le soir menu à 25€ et 35€ uniquement. Fermé en saison le lundi soir, mardi soir et mercredi toute la journée||||||||||||||||||||||||||||19:15||21:30||||||19:15||21:30||||||19:15||21:30||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.40754, -2.4812;Loire-Atlantique
LE BISTROT;Restaurant;Brasserie;;6 Quai Saint-Pierre;;44420;;;LA TURBALLE;44211;47.34768;-2.51162;;;02 40 23 74 65;;contact@lebistrot-laturballe.fr;http://lebistrot-laturballe.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.34768, -2.51162;Loire-Atlantique
LE BISTROT DE L'ETANG;Restaurant;Restauration rapide;;603, impasse du Domaine de l'Etang;Brissac-Quincé;49320;;;BRISSAC LOIRE AUBANCE;49050;47.3593505;-0.434335;"Aéroport/aérodrome||Angers Loire Aéroport||35 ; Autoroute||A11 et A87||5 ; Gare SNCF||Angers Saint Laud||15 ; Gare routière||Angers Saint Laud||15 ; Route (nationale/départ.)||Route de Saint-Mathurin||1";;02 41 91 70 61;;info@campingetang.com;https://www.campingetang.com;;Facebook||http://www.facebook.com/letang49?ref=hl;;;;;;oui;pas dans l'enceinte du snack mais sur la terrasse.;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse,WiFi;60;1;30;1;;;oui;oui;5;20;non;;||02 41 91 70 61||info@campingetang.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.3593505, -0.434335;Maine-et-Loire
LE BISTROT DES HALLES;Restaurant;Cuisine traditionnelle;;20 rue Georges Clémenceau;;44210;;;PORNIC;44131;47.11585;-2.10477;;;09 82 48 06 18;;ericbacconnais@sfr.fr;https://www.bistrotdeshalles-pornic.fr/;;;;;;;;oui;;;WiFi;30;1;20;;;;oui;oui;10;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11585, -2.10477;Loire-Atlantique
LE BISTROT DU 7;Restaurant;Cuisine traditionnelle;;7 rue Voltaire;;44000;;;NANTES;44109;47.212379;-1.5644426;;;02 40 69 88 96;;;http://lebistrotdu7.fr/;;;;;Gault Millau,Les Tables de Nantes;;;;;Maitres Restaurateurs;;;;;;;;oui;oui;;;;;;oui;||http://www.nantes-tourisme.com/book/562269||||||;;Cartes bancaires,Tickets Restaurant;47.212379, -1.5644426;Loire-Atlantique
LE BOUDOIR CAFÉ;;Salon de thé;;11 rue d'Alsace;;49100;;;ANGERS;49007;47.47037;-0.55038;;;09 81 42 86 85;;pitto.catherine@orange.fr;https://www.facebook.com/cathyjeanlou/?ref=page_internal;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;;;;;;;47.47037, -0.55038;Maine-et-Loire
LE BRETAGNE;Restaurant;Brasserie;;22 boulevard de la République;;44380;;;PORNICHET;44132;47.25967;-2.33853;;;02 40 61 00 30;;lebretagnepornichet@yahoo.fr;;;;;;;;;oui;;;;;;;;;;oui;oui;;;;"01/01/2022||30/04/2022|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/05/2022||31/08/2022|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/09/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.25967, -2.33853;Loire-Atlantique
LE BYSTROT;Restaurant;Cuisine traditionnelle;;CENTRE COMMERCIAL LECLERC;;49320;;;BRISSAC LOIRE AUBANCE;49050;47.3413999;-0.4304271;"Route (nationale/départ.)||D748||0,1 ; Autoroute||A87, sortie n°23||10 ; Gare SNCF||Angers Saint Laud||20 ; Aéroport/aérodrome||Angers Marcé||30";;02 41 47 42 66;;lebystrot@gmail.com;https://le-bystrot.metro.rest;;Facebook||https://www.facebook.com/bystrotbrissac.restaurant;;;;;;oui;;;Climatisation,Plats à emporter,Plats à emporter / Covid-19,Service en terrasse,Traiteur,WiFi;140;1;70;;1;;oui;oui;2;140;oui;01/01/2023||31/12/2023||||||09:00||||||16:30||09:00||||||16:30||09:00||||||16:30||09:00||||||16:30||09:00||16:30||19:00||23:00||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.3413999, -0.4304271;Maine-et-Loire
LE CHALUT;Restaurant;Crêperie;;34 Rue de l'Eglise;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.24699;-2.16707;;;02 28 53 91 27;;creperie.lechalut@gmail.com;https://www.le-chalut-restaurant.fr/;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||midi et soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.24699, -2.16707;Loire-Atlantique
LE CHIEN ASSIS;Restaurant;Crêperie;;7 rue Saint-Michel;Intra-muros;44350;;;GUERANDE;44069;47.32758;-2.42841;;;06 78 27 78 05;;lechienassisguerande@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;01/09/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.32758, -2.42841;Loire-Atlantique
LE CINQUIEME QUARTIER;Restaurant;Cuisine traditionnelle;;2 La Corbeillere;;44210;;;PORNIC;44131;47.12456;-2.13604;;06 81 97 75 55;09 63 59 71 04;;le5emequartier@orange.fr;https://www.le5emequartier.com/;;;;;Gault Millau;;;oui;;;Plats à emporter,WiFi;150;1;40;1;;;oui;oui;;150;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.12456, -2.13604;Loire-Atlantique
LE CLASSICO;;Cuisine traditionnelle;;14 rue du Pont;;53150;;;MONTSURS;53161;48.1362412;-0.5536299;;;02 43 98 04 17;;;;;Facebook||https://www.facebook.com/pg/Le-Classico-719413695127787/;;;;;;;;;Plats à emporter,Service en terrasse,WiFi;30;1;20;;;;oui;oui;;;oui;;;;;Menu adulte du jour (midi en semaine)||13,00||||;Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.1362412, -0.5536299;Mayenne
LE COLIBRI;Restaurant;Cuisine traditionnelle;;2 Rue de la Bascule;;44410;;;LA CHAPELLE-DES-MARAIS;44030;47.447612;-2.240489;"Transport en commun||Ligne T3 - Arrêt ""centre""||0,24";;02 40 19 22 05;;bhr44.cdm@gmail.com;http://colibri-restaurant.jimdofree.com;;Facebook||https://www.facebook.com/Le-Colibri-la-Chapelle-des-Marais-2111425335600446/;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert le mardi midi, mercredi midi, dimanche midi, ainsi que les jeudis, vendredis et samedis entiers||Fermé le lundi, ainsi que le mardi soir, le mercredi soir et le dimanche soir||||||||||12:00||13:30||||||12:00||13:30||19:00||23:00||12:00||13:30||19:00||23:00||12:00||13:30||19:00||23:00||12:00||13:30||19:00||23:30||12:00||15:00||||;||02 40 19 22 05||bhr44.cdm@gmail.com;;;"Menu adulte du jour (midi en semaine)||12,50||15,00|| ; Menu adulte soir et week-end||21,00||||";;47.447612, -2.240489;Loire-Atlantique
LE COLIBRI FAIT SON NID;;Salon de thé;;6 rue Saint-Jean;;49400;;;SAUMUR;49328;47.25967;-0.07594;;;09 73 26 81 78;;lecolibrifaitsonnid@hotmail.com;https://www.facebook.com/pg/lecolibrifaitsonnid/posts/;;;;;;;;;;;WiFi;12;1;6;;;;;;;;;;;;;;Cartes bancaires;47.25967, -0.07594;Maine-et-Loire
